Series ID,Year,Period,Label,Value
LASST170000000000003,2019,M01,2019 Jan,4.5
LASST170000000000003,2019,M02,2019 Feb,4.5
LASST170000000000003,2019,M03,2019 Mar,4.4
LASST170000000000003,2019,M04,2019 Apr,4.2
LASST170000000000003,2019,M05,2019 May,4.1
LASST170000000000003,2019,M06,2019 Jun,4.0
LASST170000000000003,2019,M07,2019 Jul,3.9
LASST170000000000003,2019,M08,2019 Aug,3.8
LASST170000000000003,2019,M09,2019 Sep,3.7
LASST170000000000003,2019,M10,2019 Oct,3.6
LASST170000000000003,2019,M11,2019 Nov,3.5
LASST170000000000003,2019,M12,2019 Dec,3.5
