,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
1,al,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
2,ar,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
3,az,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
4,ca,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
5,co,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
6,ct,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
7,dc,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
8,de,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
9,fl,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
10,ga,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
11,hi,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
12,ia,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
13,id,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
14,il,confirmed_cumulative_prop,2020-01-25,2020-11-19,299,0.0078915256141955,,,state,usa-facts
15,in,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
16,ks,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
17,ky,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
18,la,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
19,ma,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
20,md,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
21,me,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
22,mi,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
23,mn,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
24,mo,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
25,ms,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
26,mt,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
27,nc,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
28,nd,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
29,ne,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
30,nh,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
31,nj,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
32,nm,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
33,nv,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
34,ny,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
35,oh,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
36,ok,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
37,or,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
38,pa,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
39,ri,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
40,sc,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
41,sd,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
42,tn,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
43,tx,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
44,ut,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
45,va,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
46,vt,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
47,wa,confirmed_cumulative_prop,2020-01-25,2020-11-19,299,0.013132160885255,,,state,usa-facts
48,wi,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
49,wv,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
50,wy,confirmed_cumulative_prop,2020-01-25,2020-10-17,266,0.0,,,state,usa-facts
0,ak,confirmed_cumulative_prop,2020-01-26,2020-10-17,265,0.0,,,state,usa-facts
1,al,confirmed_cumulative_prop,2020-01-26,2020-10-17,265,0.0,,,state,usa-facts
2,ar,confirmed_cumulative_prop,2020-01-26,2020-10-17,265,0.0,,,state,usa-facts
3,az,confirmed_cumulative_prop,2020-01-26,2020-11-19,298,0.013738684990775,,,state,usa-facts
4,ca,confirmed_cumulative_prop,2020-01-26,2020-11-19,298,0.0050617248237337,,,state,usa-facts
5,co,confirmed_cumulative_prop,2020-01-26,2020-10-17,265,0.0,,,state,usa-facts
6,ct,confirmed_cumulative_prop,2020-01-26,2020-10-17,265,0.0,,,state,usa-facts
7,dc,confirmed_cumulative_prop,2020-01-26,2020-10-17,265,0.0,,,state,usa-facts
8,de,confirmed_cumulative_prop,2020-01-26,2020-10-17,265,0.0,,,state,usa-facts
9,fl,confirmed_cumulative_prop,2020-01-26,2020-10-17,265,0.0,,,state,usa-facts
