submission_date,STATE,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
4/18/21,North Carolina,943693,811179,132514,0,0,12387,10924,1463,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Rhode Island,144149,,,0,0,2647,,,0,0,4/19/21 15:04,Not agree,N/A
4/18/21,Wisconsin,651545,590458,61087,596,78,7420,6709,711,-2,0,4/19/21 15:04,Agree,Agree
4/18/21,Nevada,310235,,,0,0,5365,,,0,0,4/19/21 15:04,,
4/18/21,Indiana,708067,,,956,0,13224,12815,409,8,1,4/19/21 15:04,Not agree,Agree
4/18/21,Montana,107145,98913,8232,56,11,1546,1546,0,1,0,4/19/21 15:04,Agree,Agree
4/18/21,Virginia,647111,503725,143386,978,296,10595,8893,1702,14,3,4/19/21 15:04,Agree,Agree
4/18/21,Alabama,522401,405385,117016,270,77,10790,8498,2292,0,0,4/19/21 15:04,Agree,Agree
4/18/21,California,3616779,,,2667,0,59768,,,78,0,4/19/21 15:04,Not agree,Not agree
4/18/21,Minnesota,556381,,,1845,278,7098,6634,464,15,1,4/19/21 15:04,N/A,Agree
4/18/21,Kentucky,437312,331407,105905,275,89,6338,5730,608,4,0,4/19/21 15:04,Agree,Agree
4/18/21,Vermont,22016,,,147,2,242,,,0,0,4/19/21 15:04,Not agree,Not agree
4/18/21,New Hampshire,91586,,,307,77,1270,,,4,0,4/19/21 15:04,Not agree,Not agree
4/18/21,North Dakota,105805,98320,7485,51,18,1479,,,0,0,4/19/21 15:04,Agree,Not agree
4/18/21,Massachusetts,641367,631471,9896,1265,0,17325,17117,208,7,0,4/19/21 15:04,Agree,Agree
4/18/21,Georgia,1084272,868865,215407,972,270,19758,17214,2544,1,1,4/19/21 15:04,Agree,Agree
4/18/21,Kansas,305861,247291,58570,0,0,4953,,,0,0,4/19/21 15:04,Agree,N/A
4/18/21,New Mexico,194868,,,0,0,4001,,,0,0,4/19/21 15:04,N/A,Not agree
4/18/21,Arkansas,333452,,,45,2,5694,,,1,0,4/19/21 15:04,Not agree,Not agree
4/18/21,West Virginia,148887,117443,31444,370,91,2785,,,5,0,4/19/21 15:04,Agree,Not agree
4/18/21,Florida,2128136,,,6749,1715,34439,,,35,1,4/19/21 15:04,Not agree,Not agree
4/18/21,Oklahoma,445649,351665,93984,185,46,6719,5690,1029,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Texas,2841564,,,1823,389,48611,,,38,0,4/19/21 15:04,Not agree,Not agree
4/18/21,Tennessee,835372,691703,143669,707,139,12064,9683,2381,1,0,4/19/21 15:04,Agree,Agree
4/18/21,Ohio,1053175,887690,165485,1076,222,18991,18991,0,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Alaska,63245,,,0,0,329,,,0,0,4/19/21 15:04,N/A,N/A
4/18/21,Utah,392757,392757,0,248,0,2164,2103,61,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Pennsylvania,1107377,935702,171675,3761,613,25688,,,27,18,4/19/21 15:04,Agree,Not agree
4/18/21,Hawaii,30369,,,109,0,471,,,0,0,4/19/21 15:04,Not agree,Not agree
4/18/21,Colorado,490289,459272,31017,1261,57,6199,5462,737,11,0,4/19/21 15:04,Agree,Agree
4/18/21,New York,1092654,,,3016,0,19179,,,14,0,4/19/21 15:04,Not agree,Not agree
4/18/21,Iowa,360013,,,249,31,5881,,,0,0,4/19/21 15:04,Not agree,Not agree
4/18/21,South Dakota,121056,,,0,0,1953,1589,364,0,0,4/19/21 15:04,N/A,Agree
4/18/21,Illinois,1302241,1302241,0,2666,0,23955,21663,2292,10,0,4/19/21 15:04,Agree,Agree
4/18/21,Oregon,175121,175121,0,620,0,2460,2460,0,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Maryland,436659,,,631,0,8574,8387,187,12,1,4/19/21 15:04,N/A,Agree
4/18/21,Connecticut,329062,302775,26287,0,0,7995,6578,1417,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Maine,57545,43192,14353,260,97,767,742,25,2,1,4/19/21 15:04,Agree,Agree
4/18/21,Arizona,853761,792073,61688,711,164,17153,15231,1922,2,0,4/19/21 15:04,Agree,Agree
4/18/21,Washington,386891,,,1342,143,5380,,,0,0,4/19/21 15:04,N/A,N/A
4/18/21,Nebraska,216613,,,316,0,2215,,,2,0,4/19/21 15:04,Not agree,Not agree
4/18/21,Idaho,184769,148276,36493,0,0,2017,1757,260,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Wyoming,57267,48447,8820,0,0,703,703,0,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Louisiana,451955,,,0,0,10282,9392,890,0,0,4/19/21 15:04,Not agree,Agree
4/18/21,Delaware,101158,94559,6599,381,53,1602,1461,141,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Mississippi,309223,189307,119916,37,8,7153,4941,2212,0,0,4/19/21 15:04,Agree,Agree
4/18/21,Missouri,577317,,,378,189,8635,,,0,0,4/19/21 15:04,Not agree,Not agree
4/18/21,Michigan,873700,785307,88393,0,0,17934,16840,1094,0,0,4/19/21 15:04,Agree,Agree
4/18/21,South Carolina,569250,475415,93835,1002,425,9337,,,16,2,4/19/21 15:04,Agree,Not agree
4/18/21,New Jersey,978853,858519,120334,3149,389,25143,22551,2592,9,0,4/19/21 15:04,Agree,Agree
4/17/21,Michigan,873700,785307,88393,6076,546,17934,16840,1094,16,7,4/18/21 13:41,Agree,Agree
4/17/21,North Dakota,105754,98287,7467,58,-9,1479,,,0,0,4/18/21 13:41,Agree,Not agree
4/17/21,Mississippi,309186,189278,119908,157,30,7153,4941,2212,0,0,4/18/21 13:41,Agree,Agree
4/17/21,Montana,107089,98868,8221,148,126,1545,1545,0,8,0,4/18/21 13:41,Agree,Agree
4/17/21,New Hampshire,91279,,,369,133,1266,,,0,0,4/18/21 13:41,Not agree,Not agree
4/17/21,North Carolina,943693,811179,132514,0,0,12387,10924,1463,0,0,4/18/21 13:41,Agree,Agree
4/17/21,Wyoming,57267,48447,8820,0,0,703,703,0,0,0,4/18/21 13:41,Agree,Agree
4/17/21,Idaho,184769,148276,36493,0,0,2017,1757,260,0,0,4/18/21 13:41,Agree,Agree
4/17/21,Maryland,436028,,,1169,0,8562,8376,186,17,0,4/18/21 13:41,N/A,Agree
4/17/21,Illinois,1299575,1299575,0,3194,0,23945,21653,2292,25,2,4/18/21 13:41,Agree,Agree
